CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15661034,813,Lusaka,Female,29,5,26514.85,1,0,0,46994.22,1
15807989,681,Lusaka,Male,37,8,18294.835,2,1,1,6323.1325,0
15766044,642,Lusaka,Male,49,4,30172.1525,1,1,0,6192.555,1
15794792,612,Copperbelt,Female,31,8,29497.44,1,1,1,13532.465,0
15736287,586,Copperbelt,Male,33,9,0,1,1,0,1743.755,0
15647965,477,Copperbelt,Female,57,9,28505.91,2,1,1,17791.7925,1
15778936,701,Copperbelt,Male,33,9,36877.585,1,1,0,47652.98,0
15583576,671,Copperbelt,Male,30,2,0,1,0,1,25514.465,0
15612524,643,Lusaka,Male,41,2,31960.38,1,1,0,43090.8525,0
15722599,751,Copperbelt,Female,37,9,45903.415,2,0,0,12433.735,0
15723169,640,Copperbelt,Female,31,9,34714.3975,1,1,0,12160.1925,0
15642816,850,Copperbelt,Female,27,7,10914.5825,2,1,1,756.3725,0
15792328,475,Copperbelt,Male,39,6,0,1,1,1,14249.975,1
15615753,597,Lusaka,Female,35,8,32775.26,1,1,1,48213.1675,0
15730673,567,Lusaka,Male,40,7,30566.31,1,1,0,34638.185,0
15702715,747,Copperbelt,Female,34,10,0,2,1,1,12689.95,0
15643188,671,Lusaka,Female,47,7,28650.94,2,1,0,38298.58,1
15616859,602,Lusaka,Female,43,2,28410.3725,4,1,0,28779.0875,1
15640491,464,Copperbelt,Female,33,10,36873.425,2,1,0,25111.8825,0
15811389,724,Lusaka,Female,35,0,42995.7375,2,0,1,41828.2675,0
15729117,607,Copperbelt,Female,31,1,25630.97,1,1,1,41698.1775,0
15596013,694,Lusaka,Female,58,1,35803.055,1,0,0,25657.14,1
15569451,463,Copperbelt,Male,35,2,25314.29,1,1,1,29528.41,0
15685920,599,Other Provinces,Male,34,2,25376.665,1,0,0,49507.56,0
15691396,405,Lusaka,Male,31,5,33324.9175,2,1,1,18237.535,0
15639669,746,Copperbelt,Male,36,9,31789.26,1,1,1,38925.0375,0
15716023,693,Copperbelt,Male,31,1,0,2,0,1,45567.72,0
15636023,619,Copperbelt,Female,40,10,0,1,1,1,36773.46,1
15599301,538,Lusaka,Female,28,6,41091.36,1,0,1,1424.7425,0
15665590,541,Copperbelt,Male,46,6,0,2,1,1,20864.1675,0
15591035,644,Other Provinces,Male,54,6,0,1,0,1,21155.5925,0
15774402,562,Other Provinces,Male,36,5,0,1,0,1,45710.81,0
15615670,762,Copperbelt,Male,36,5,29886.865,1,1,1,10673.4125,0
15770420,749,Lusaka,Male,46,10,19534.09,2,1,1,18367.745,0
15730441,509,Copperbelt,Male,26,10,0,2,1,1,1544.4575,0
15742681,554,Lusaka,Male,26,4,30341.3475,1,1,1,2185.59,0
15809309,689,Other Provinces,Female,40,5,38562.9175,1,0,1,29579.875,0
15691513,592,Copperbelt,Male,60,9,0,4,1,1,3403.5025,1
15726814,554,Other Provinces,Male,46,4,0,2,0,1,14330.23,0
15574324,568,Lusaka,Female,29,2,32294.2525,2,0,1,26154.4975,0
15594133,697,Other Provinces,Male,62,7,0,1,1,0,32297.045,1
15708139,575,Copperbelt,Female,40,1,34883.085,1,1,0,45323.5975,0
15752294,582,Copperbelt,Female,38,9,33994.7525,4,1,1,19145.7375,1
15756026,790,Other Provinces,Female,46,9,0,1,0,0,3669.9525,1
15583353,610,Other Provinces,Female,45,3,0,1,1,0,9569.21,1
15584271,633,Copperbelt,Male,59,5,0,1,1,1,34318.4925,0
15796015,633,Lusaka,Male,42,3,31510.255,1,0,1,2949.2225,0
15695872,712,Copperbelt,Female,30,1,22392.8975,1,1,1,44403.2975,0
15670584,646,Other Provinces,Male,31,2,0,1,1,1,42705.3575,1
15618562,618,Lusaka,Female,40,0,35076.595,1,1,0,40154.6525,1
15658158,672,Lusaka,Female,23,10,27685.39,1,1,0,20194.625,0
15813132,696,Lusaka,Male,30,4,28506.925,1,1,1,48429.14,0
15747821,554,Lusaka,Female,31,6,33867.725,1,1,0,26768.7025,0
15568885,620,Lusaka,Female,34,8,25562.8925,1,1,0,30168.0225,0
15599126,529,Copperbelt,Female,43,0,30953.965,1,1,1,19615.9975,1
15720187,479,Lusaka,Female,30,7,35991.09,2,1,0,10469.9975,0
15678168,648,Other Provinces,Female,27,7,0,2,1,1,40765.1075,0
15749119,710,Copperbelt,Female,31,3,0,2,1,1,28072.265,0
15648461,688,Other Provinces,Male,37,7,34540.6025,2,1,1,28481.5775,0
15736816,756,Lusaka,Male,36,2,34203.91,1,1,1,42510.4875,0
15731543,679,Other Provinces,Male,58,9,27331.9125,1,1,1,957.2825,0
15799631,585,Other Provinces,Male,36,10,0,2,1,1,45079.65,0
15661974,677,Copperbelt,Male,46,2,14259.435,1,1,1,39632.7525,0
15585282,755,Copperbelt,Male,62,1,31926.5825,2,0,1,35594.4225,0
15703205,656,Copperbelt,Female,46,5,28350.535,2,1,1,34712.265,0
15671097,428,Copperbelt,Female,31,2,0,2,1,0,13621.8575,0
15587835,850,Copperbelt,Male,41,3,34104.205,1,0,1,14461.065,0
15717629,632,Lusaka,Male,42,6,14993.065,2,0,1,37043.235,0
15620372,687,Other Provinces,Male,31,3,0,2,0,0,12057.025,0
15662488,627,Copperbelt,Female,44,5,0,2,1,0,20742.4025,1
15697625,791,Copperbelt,Male,37,2,40947.3725,2,1,0,18958.1325,0
15647898,610,Other Provinces,Female,50,5,32638.6275,3,1,0,46189.5425,1
15617197,524,Copperbelt,Male,50,4,0,2,1,1,7960.1475,1
15790314,649,Copperbelt,Male,41,0,0,2,0,1,32641.755,0
15624623,516,Copperbelt,Male,35,10,26022.1475,2,0,0,29916.5,0
15714391,563,Copperbelt,Female,35,2,45893.21,1,1,1,16501.6875,1
15708162,565,Lusaka,Female,40,1,22498.6775,2,0,1,30271.0675,0
15678572,529,Other Provinces,Male,38,7,24960.625,2,1,0,22564.015,1
15808182,478,Other Provinces,Female,36,3,23090.825,2,1,0,11228.175,0
15589541,557,Copperbelt,Female,27,2,0,2,0,1,1124.3875,0
15600103,633,Lusaka,Female,29,8,26236.025,1,1,1,24421.115,0
15697606,637,Copperbelt,Female,21,10,31428.05,1,0,0,43768.1175,0
15661380,682,Copperbelt,Male,69,6,0,2,0,1,37401.045,0
15707918,741,Lusaka,Female,36,0,31918.8475,2,1,0,18565.04,0
15764105,475,Copperbelt,Female,57,1,0,2,1,0,22312.2475,0
15755225,659,Lusaka,Male,34,9,33616.145,2,1,0,44708.335,0
15793641,792,Copperbelt,Female,70,3,0,2,1,1,43060.0675,0
15595071,696,Copperbelt,Male,22,9,37444.25,1,1,1,49508.2325,0
15670416,780,Copperbelt,Female,43,0,0,1,0,1,3926.3175,0
15601848,594,Copperbelt,Male,35,2,0,2,1,0,25870.1725,0
15577478,714,Copperbelt,Female,72,3,0,1,1,1,21683.4025,0
15677435,647,Copperbelt,Female,29,0,24565.865,2,1,0,41179.4875,0
15711130,734,Copperbelt,Male,45,2,0,2,1,0,24898.32,0
15634974,614,Copperbelt,Female,37,8,18787.585,4,0,1,32941.6675,1
15723685,601,Lusaka,Female,26,7,26378.6725,2,1,0,12517.6475,0
15711398,525,Copperbelt,Female,25,6,0,2,1,0,22391.66,0
15601550,595,Other Provinces,Male,36,6,21442.105,1,1,1,6200.6925,0
15782574,624,Other Provinces,Male,33,6,0,2,0,0,19137.925,0
15569446,732,Copperbelt,Female,34,8,30584.6075,2,1,0,46996.4625,0
15781665,601,Copperbelt,Female,37,5,0,1,0,0,5177.15,0
15649297,605,Copperbelt,Female,62,4,27766.4825,2,0,1,31415.2475,0
15567832,550,Copperbelt,Female,40,7,28588.7375,1,1,0,13504.7325,0
15807312,602,Other Provinces,Male,33,5,0,2,0,1,16009.585,0
15598802,770,Other Provinces,Male,30,8,0,2,0,1,12709.9625,0
15593178,568,Other Provinces,Female,36,10,38402.6525,1,1,1,13520.95,1
15718057,760,Copperbelt,Female,51,2,25236.6775,1,0,0,44903.7,1
15568876,496,Copperbelt,Female,34,1,25680.8375,2,1,0,45211.2025,0
15687491,817,Lusaka,Male,45,9,25301.9375,1,0,0,22052.78,1
15742028,602,Copperbelt,Female,35,5,0,2,1,0,7762.505,0
15596979,662,Copperbelt,Female,47,6,0,2,1,1,32348.1875,0
15750466,790,Lusaka,Male,42,1,21459.905,1,1,0,49545.6825,0
15616454,476,Lusaka,Female,34,8,27976.3575,1,0,1,49305.4525,1
15636520,692,Copperbelt,Male,27,1,31386.8825,1,0,0,1975.115,0
15699005,710,Copperbelt,Female,41,2,39016.7625,1,1,1,2495.97,0
15700263,569,Copperbelt,Male,66,2,0,1,1,0,32696.05,1
15804822,805,Copperbelt,Female,31,4,0,2,1,0,1199.53,0
15768455,679,Copperbelt,Male,60,8,0,2,1,1,12845.225,0
15629323,617,Lusaka,Female,37,4,29117.8575,2,1,0,43831.185,1
15670898,740,Copperbelt,Female,60,5,27007.02,2,0,0,6495.105,1
